Source;Target;Type
0;9;Undirected
0;10;Undirected
0;14;Undirected
0;15;Undirected
0;16;Undirected
0;19;Undirected
0;20;Undirected
0;21;Undirected
0;23;Undirected
0;24;Undirected
0;27;Undirected
0;28;Undirected
0;29;Undirected
0;30;Undirected
0;31;Undirected
0;32;Undirected
0;33;Undirected
2;1;Undirected
3;1;Undirected
3;2;Undirected
4;1;Undirected
4;2;Undirected
4;3;Undirected
5;1;Undirected
6;1;Undirected
7;1;Undirected
7;5;Undirected
7;6;Undirected
8;1;Undirected
8;2;Undirected
8;3;Undirected
8;4;Undirected
9;1;Undirected
9;3;Undirected
10;3;Undirected
11;1;Undirected
11;5;Undirected
11;6;Undirected
12;1;Undirected
13;1;Undirected
13;4;Undirected
14;1;Undirected
14;2;Undirected
14;3;Undirected
14;4;Undirected
17;6;Undirected
17;7;Undirected
18;1;Undirected
18;2;Undirected
20;1;Undirected
20;2;Undirected
22;1;Undirected
22;2;Undirected
26;24;Undirected
26;25;Undirected
28;3;Undirected
28;24;Undirected
28;25;Undirected
29;3;Undirected
30;24;Undirected
30;27;Undirected
31;2;Undirected
31;9;Undirected
32;1;Undirected
32;25;Undirected
32;26;Undirected
32;29;Undirected
33;3;Undirected
33;9;Undirected
33;15;Undirected
33;16;Undirected
33;19;Undirected
33;21;Undirected
33;23;Undirected
33;24;Undirected
33;30;Undirected
33;31;Undirected
33;32;Undirected
